variable,n,moran_i,expected_i,z_score,p_value
SPI (snow-inclusive),81,0.7547242007895042,-0.0125,10.591518931323018,0.001
Accessibility,81,0.6676256782652824,-0.0125,9.251737390954887,0.001
Gap (SPI - AI),81,0.7973484763443255,-0.0125,10.536344798043505,0.001
