shapeName,shapeID,tehsil_area_km2,road_length_km,road_density_km_per_km2,tri_mean,vegetation_pct,water_pct,dist_to_roads_mean_m,spi_no_snow,ai,priority_high_scenic_low_access
BAGH,9618217B73079690921862,449.2769935179929,221.15858804959305,0.49225442486570586,38.98483343627915,36.19672860798932,0.10682096361410928,525.8198684239051,0.23300822139643693,0.8151046807919691,False
DHEERKOT,9618217B97675599580596,230.1728394494436,105.70918998956756,0.4592600510225973,37.58955988862831,20.416413109623576,0.00869338433452143,628.4115714798033,-0.15007976973151993,0.7181999960722368,False
BARNALA,9618217B79573260848394,425.7600286789201,233.46260344517935,0.5483431692016381,9.399435620994886,21.49903697092122,0.35702541457227416,298.3313364582758,-1.0850476883252542,0.9906985719935116,False
BHIMBER,9618217B68732265330698,372.1665580690074,111.0877878408557,0.2984894409031177,13.636903656130324,30.902787109952428,0.01343833149676136,1031.083165023508,-0.7474586980836999,0.26590602834966987,False
SAMAHNI,9618217B74772899110096,398.290898685503,243.1856555082584,0.6105729664194054,21.258482172573444,33.307391042377986,0.0,272.80569619360546,-0.43621056537432135,1.1391040724045562,False
HATTIAN BALA,9618217B68754169353282,724.0401355896437,179.7591644286194,0.24827237551165196,48.7239807334394,49.66094438383029,0.6339166102724875,761.3554379666833,0.8601463466533982,0.20554429283393638,True
HAVELI,9618217B64863264884629,542.0247773282896,166.56681956632835,0.30730480696354473,45.03994148119412,40.572946449982474,0.02766966113888325,667.0851654431593,0.5311933014429102,0.36065703425991463,False
KOTLI,9618217B93166287325125,939.7529399679754,702.3924426703331,0.7474224477491596,23.862582254088593,30.029902205952773,0.019154437976865696,259.00360226734426,-0.41610114366938067,1.4568021736215357,False
NAKIAL,9618217B15093186041287,190.8223633876274,140.14666649108986,0.7344352307722058,29.442136610747884,27.6448362720403,0.005247691015952981,183.7798069386198,-0.2759572074793159,1.4423096564824187,False
SEHNSA,9618217B87362341551768,485.5476113404167,179.0863786644989,0.3688338166675517,22.803358758685125,39.74786800148313,0.012359411692003462,978.8432237751399,-0.24699560840382034,0.4384475100292728,False
DUDYAL,9618217B37808039502792,317.56877674041453,150.46808431613547,0.4738125890730446,9.195517754113597,37.413016782644284,0.028338423753896537,464.9867156181983,-0.7614487465180712,0.7851176483275639,False
MIRPUR,9618217B94086344698677,582.185808431261,336.51461650433174,0.578019270876927,6.924880331162268,39.67752459776431,0.25413396981300546,622.1629274891884,-0.787194483857056,0.992729242086491,False
MUZAFFARABAD,9618217B57894485120071,1303.0581155334157,382.56130526132677,0.2935872933838585,47.62532527544763,41.140853068930056,6.777892038739582,1516.7208591529275,0.7521925609385536,0.15527342992323165,True
ATHUMQAM,9618217B55768510626440,3494.316731916934,235.61645717580672,0.0674284775114106,54.25493550683442,30.83544868914715,8.816097118441801,3097.769642289875,0.797456019359362,-0.6885472799346002,True
ABBASPUR,9618217B83205974251307,104.27144702372762,62.25024124147306,0.597001796928239,38.70563121941141,30.568356374807987,0.0,248.20502580036217,0.10255997269545246,1.1129113063020424,False
HAJEERA,9618217B82484311896760,267.8266679178409,235.32204742187744,0.8786356088112381,29.247266686298573,28.356036573987687,0.1268893450270573,172.93834891656505,-0.26541301002107726,1.7763156025721045,False
RAWALAKOT,9618217B87664867246475,356.7707789219054,276.6962977515386,0.7755576243874656,31.61633731125381,20.901800235544837,0.01962873647019236,278.7396737717451,-0.34390177722454646,1.517500208098864,False
PALLANDARI,9618217B46803973144296,572.5306834574884,218.20018903769062,0.38111527528968225,30.44446300520378,27.520164810223818,0.0017458710150494083,732.0845427407063,-0.2443767825186325,0.517188382811022,False
BAR CHAMARKAND,9618217B38361138378149,16.66556358839774,7.2732942953869175,0.4364265424813146,36.4629426595327,5.7057057057057055,0.0,333.03364161585904,-0.499769419729854,0.7260921786224939,False
BARANG,9618217B27103402875346,267.0539384890678,97.83406645037165,0.3663457165391201,39.55876278398368,5.099213777611381,0.018719580681392737,316.24771437278986,-0.40638273383284007,0.568278630428069,False
KHAR,9618217B31254576320005,276.4114283588974,144.4264221455983,0.5225052487991652,12.835186257742219,0.8249213068490178,0.025326531350627738,203.78611213178658,-1.4105527315483501,0.9505909513404209,False
MAMUND,9618217B90172425710539,266.03283752224667,94.08355861451858,0.35365393043500115,24.003092510663745,2.7933380954171207,0.007519079664649046,225.14514040548087,-0.9873228744786857,0.557714396846308,False
NAWAGAI,9618217B6749340310851,127.09234227098406,33.294227752542746,0.26196879495346287,28.11787256306918,3.1849638251022334,0.0550487574709028,369.84100082723853,-0.8374724041858953,0.31715542586474416,False
SALARZAI,9618217B53890861075426,237.95614985386928,102.58084943402298,0.43109139854976924,25.181694787066245,8.920542879952938,0.02941300054624144,239.96377600599294,-0.8170868905752516,0.7328571809830722,False
UTMAN KHEL,9618217B58376820156413,170.3061111925454,75.99787660666787,0.44624280405737105,30.45739201694573,9.720591688189716,0.011739845034045552,303.17032048265037,-0.6200640853072384,0.7547877674752526,False
AMBAR UTMAN KHEL,9618217B21414584218612,233.19628794933172,47.46960555465565,0.20356072548191556,26.87859667672449,1.020933424845573,0.11582017844886754,441.91900080888337,-0.9245197005476155,0.16801943456824672,False
