shapeName,shapeISO,shapeID,shapeGroup,shapeType
Duki,,9618217B54428312139149,PAK,ADM3
Loralai,,9618217B59230505353758,PAK,ADM3
Mekhtar,,9618217B55998475247860,PAK,ADM3
DASHT,,9618217B81095673790392,PAK,ADM3
KHAD KOCHA SUB-,,9618217B21974978317228,PAK,ADM3
KIRDGAP SUB-,,9618217B9263701422890,PAK,ADM3
MASTUNG,,9618217B61021693970064,PAK,ADM3
DRUG SUB,,9618217B62923192711527,PAK,ADM3
KINGRI,,9618217B65198608234722,PAK,ADM3
MUSA KHEL,,9618217B29929623589579,PAK,ADM3
BABA_KOT,,9618217B38525162570146,PAK,ADM3
CHATTAR,,9618217B47994085217502,PAK,ADM3
DERA_MURAD_JAMALI,,9618217B33653411601035,PAK,ADM3
TAMBOO,,9618217B3811193083348,PAK,ADM3
DAK_,,9618217B67348092180466,PAK,ADM3
NUSHKI_,,9618217B76899423597402,PAK,ADM3
GICHK,,9618217B60261397495860,PAK,ADM3
GOWARGO,,9618217B73703267725244,PAK,ADM3
PANJGUR,,9618217B16143636802811,PAK,ADM3
PAROME,,9618217B47925299960583,PAK,ADM3
BARSHORE,,9618217B2205255569081,PAK,ADM3
HURAMZAI,,9618217B42200782607352,PAK,ADM3
KAREZAT,,9618217B76048857518190,PAK,ADM3
PISHIN,,9618217B19963285871914,PAK,ADM3
SARANAN,,9618217B26394123733067,PAK,ADM3
PANJ PAI SUB-,,9618217B59919799962574,PAK,ADM3
QUETTA CITY,,9618217B63682084587277,PAK,ADM3
QUETTA SADDAR,,9618217B20690386240745,PAK,ADM3
SHEERANI,,9618217B12512882766992,PAK,ADM3
KUT MANDAI,,9618217B12752349345390,PAK,ADM3
LEHRI,,9618217B18368882513354,PAK,ADM3
SANGAN,,9618217B85158688879478,PAK,ADM3
SIBI,,9618217B82477184644412,PAK,ADM3
BESIMA,,9618217B31193042816030,PAK,ADM3
MASHKHEL,,9618217B35884329739488,PAK,ADM3
NAG,,9618217B53771355824836,PAK,ADM3
SHAHDO GARHI SUB,,9618217B60673558266162,PAK,ADM3
WASHUK,,9618217B15164271077712,PAK,ADM3
ASHWAT SUB-,,9618217B84397370421850,PAK,ADM3
KASHATOO SUB-,,9618217B36759225643803,PAK,ADM3
QAMAR DIN KAREZ,,9618217B71582416911520,PAK,ADM3
SAMBAZA SUB,,9618217B6305227048180,PAK,ADM3
ZHOB,,9618217B4405082245846,PAK,ADM3
SINJAWI SUB,,9618217B69401786075997,PAK,ADM3
ZIARAT SUB DIVISION,,9618217B66698483777033,PAK,ADM3
DISPUTED TERRITORY,,9618217B38744518410745,PAK,ADM3
BAR CHAMARKAND,,9618217B38361138378149,PAK,ADM3
BARANG,,9618217B27103402875346,PAK,ADM3
KHAR,,9618217B31254576320005,PAK,ADM3
MAMUND,,9618217B90172425710539,PAK,ADM3
NAWAGAI,,9618217B6749340310851,PAK,ADM3
SALARZAI,,9618217B53890861075426,PAK,ADM3
UTMAN KHEL,,9618217B58376820156413,PAK,ADM3
FR BANNU,,9618217B87633366072343,PAK,ADM3
FR D.I.KHAN,,9618217B12477470393515,PAK,ADM3
FR KOHAT,,9618217B32901696142370,PAK,ADM3
FR LAKKI,,9618217B52659197715523,PAK,ADM3
FR PESHAWAR,,9618217B72269656705038,PAK,ADM3
FR TANK,,9618217B51909263256707,PAK,ADM3
BARA,,9618217B27388776429495,PAK,ADM3
JAMRUD,,9618217B97741945610446,PAK,ADM3
LANDI KOTAL,,9618217B35987854225863,PAK,ADM3
CENTRAL KURRAM,,9618217B69891825710142,PAK,ADM3
LOWER KURRAM,,9618217B46030390609191,PAK,ADM3
UPPER KURRAM,,9618217B79241141393082,PAK,ADM3
AMBAR UTMAN KHEL,,9618217B21414584218612,PAK,ADM3
HALIMZAI,,9618217B16065617100671,PAK,ADM3
PINDIALI,,9618217B45853598456335,PAK,ADM3
PRANG GHAR,,9618217B7430750340481,PAK,ADM3
SAFI,,9618217B32259055898287,PAK,ADM3
UPPER MOMAND,,9618217B63558675564153,PAK,ADM3
YAKA GHUND,,9618217B82493190371101,PAK,ADM3
DATA KHEL,,9618217B11986805554587,PAK,ADM3
DOSSALI,,9618217B46789655633865,PAK,ADM3
GARYUM,,9618217B50320195799158,PAK,ADM3
GHULAM KHAN,,9618217B55129572621582,PAK,ADM3
MIR ALI,,9618217B16260546865970,PAK,ADM3
MIRAN SHAH,,9618217B14052675855393,PAK,ADM3
RAZMAK,,9618217B43456602867297,PAK,ADM3
SHEWA,,9618217B60416920570962,PAK,ADM3
SPINWAM,,9618217B25033373041510,PAK,ADM3
CENTRAL ORAKZAI,,9618217B82128272858403,PAK,ADM3
ISMAILZAI,,9618217B45377904205919,PAK,ADM3
LOWER ORAKZAI,,9618217B73791785557213,PAK,ADM3
UPPER ORAKZAI,,9618217B17002531383252,PAK,ADM3
BIRMAL,,9618217B26139173506241,PAK,ADM3
LADHA,,9618217B16932570993763,PAK,ADM3
MAKIN,,9618217B3793228482505,PAK,ADM3
SARAOGHA,,9618217B61234163758742,PAK,ADM3
SERWEKAI,,9618217B82679427642430,PAK,ADM3
TIARZA,,9618217B34807773497614,PAK,ADM3
TOI KHULLA,,9618217B6011346458997,PAK,ADM3
WANA,,9618217B60532697515425,PAK,ADM3
ISLAMABAD,,9618217B77065930061668,PAK,ADM3
ASTORE,,9618217B70325037560475,PAK,ADM3
CHILAS,,9618217B41750222117386,PAK,ADM3
DAREL TANGIR,,9618217B87521623220935,PAK,ADM3
KHAPLU,,9618217B25754962135590,PAK,ADM3
MASHABRUM,,9618217B85218379767883,PAK,ADM3
GUPIS,,9618217B90015961408219,PAK,ADM3
ISHKOMEN,,9618217B15965056410830,PAK,ADM3
PUNIAL,,9618217B13486207754369,PAK,ADM3
YASIN,,9618217B38991384841424,PAK,ADM3
GILGIT,,9618217B24239170098361,PAK,ADM3
ALIABAD,,9618217B18607943062555,PAK,ADM3
GOJAL,,9618217B58972864826743,PAK,ADM3
NAGAR-I,,9618217B7415913583848,PAK,ADM3
NAGAR-II,,9618217B11035459557122,PAK,ADM3
GULTARI,,9618217B83227364220136,PAK,ADM3
KHARMANG,,9618217B70387484269248,PAK,ADM3
RONDU,,9618217B20972596228202,PAK,ADM3
SHIGAR,,9618217B26900800837648,PAK,ADM3
SKARDU,,9618217B88498185372954,PAK,ADM3
ABBOTTABAD,,9618217B58090762247590,PAK,ADM3
HAVELIAN,,9618217B10477128024963,PAK,ADM3
BANNU,,9618217B86252139157568,PAK,ADM3
DOMEL,,9618217B66102957616794,PAK,ADM3
ALAI,,9618217B82118214800407,PAK,ADM3
BATAGRAM,,9618217B42013741972359,PAK,ADM3
DAGGAR,,9618217B69506225279330,PAK,ADM3
GAGRA,,9618217B56430132914599,PAK,ADM3
KHADO KHEL,,9618217B53498554126513,PAK,ADM3
CHARSADDA,,9618217B75469142361220,PAK,ADM3
SHABQADAR,,9618217B19186468029110,PAK,ADM3
TANGI,,9618217B49069937374752,PAK,ADM3
CHITRAL,,9618217B14913426707390,PAK,ADM3
MASTUJ,,9618217B15142704211186,PAK,ADM3
D.I.KHAN,,9618217B8526825785603,PAK,ADM3
DARABAN,,9618217B74425880095030,PAK,ADM3
KULACHI,,9618217B58016841629421,PAK,ADM3
PAHARPUR,,9618217B57090337990309,PAK,ADM3
PAROA,,9618217B16017881368538,PAK,ADM3
HANGU,,9618217B72358395847423,PAK,ADM3
TALL,,9618217B83339690098586,PAK,ADM3
GHAZI,,9618217B18056507833425,PAK,ADM3
HARIPUR,,9618217B53516127317768,PAK,ADM3
BANDA DAUD SHAH,,9618217B86538766181056,PAK,ADM3
KARAK,,9618217B36434785765551,PAK,ADM3
TAKHT E NASRATI,,9618217B28657250175694,PAK,ADM3
KOHAT,,9618217B37478017823501,PAK,ADM3
LACHI,,9618217B45474288177233,PAK,ADM3
DASSU,,9618217B96945867102806,PAK,ADM3
KANDIA,,9618217B42691934354201,PAK,ADM3
PALAS,,9618217B98955281089867,PAK,ADM3
PATTAN,,9618217B74983796043949,PAK,ADM3
LAKKI MARWAT,,9618217B28791527725555,PAK,ADM3
NAURANG,,9618217B19630672602920,PAK,ADM3
ADENZAI,,9618217B4451792369461,PAK,ADM3
LALQILLA,,9618217B49164558096656,PAK,ADM3
MUNDA,,9618217B64606316264088,PAK,ADM3
SAMARBAGH(BARWA),,9618217B88301409575294,PAK,ADM3
TEMERGARA,,9618217B87730202746425,PAK,ADM3
SAM RANIZAI,,9618217B54248563822765,PAK,ADM3
SWAT RANIZAI,,9618217B91992316601631,PAK,ADM3
BALAKOT,,9618217B1796422743035,PAK,ADM3
MANSEHRA,,9618217B1764376648259,PAK,ADM3
OGHI,,9618217B99515953512230,PAK,ADM3
KATLANG,,9618217B26511611890245,PAK,ADM3
MARDAN,,9618217B99815948205781,PAK,ADM3
TAKHT BHAI,,9618217B56941601966296,PAK,ADM3
NOWSHERA,,9618217B14540535558764,PAK,ADM3
PABBI,,9618217B85805369832497,PAK,ADM3
ALPURI,,9618217B67800644266725,PAK,ADM3
BISHAM,,9618217B47007823281887,PAK,ADM3
CHIKSAR,,9618217B39481930993585,PAK,ADM3
MARTUNG,,9618217B75574497464279,PAK,ADM3
PURAN,,9618217B85285460066544,PAK,ADM3
LAHOR,,9618217B21660428778225,PAK,ADM3
RAZAR,,9618217B51199303566894,PAK,ADM3
SWABI,,9618217B86482218713484,PAK,ADM3
TOPI,,9618217B62060167615722,PAK,ADM3
BABUZAI,,9618217B96227356091196,PAK,ADM3
BAHRAIN,,9618217B66331326355874,PAK,ADM3
BARIKOT,,9618217B68002200879702,PAK,ADM3
