shapeName,shapeISO,shapeID,shapeGroup,shapeType
GARHI YASIN,,9618217B98376452500740,PAK,ADM3
KHANPUR,,9618217B94411658070571,PAK,ADM3
LAKHI,,9618217B46900508177300,PAK,ADM3
SHIKARPUR,,9618217B27757142897460,PAK,ADM3
NEW SUKKUR,,9618217B94319031866634,PAK,ADM3
PANO AQIL,,9618217B49534384212530,PAK,ADM3
ROHRI,,9618217B29131954662033,PAK,ADM3
SALEHPAT,,9618217B63859663087686,PAK,ADM3
SUKKUR,,9618217B93488749817642,PAK,ADM3
CHAMBER,,9618217B78978409820002,PAK,ADM3
JHANDO MARI,,9618217B49137359500551,PAK,ADM3
TANDO ALLAH YAR,,9618217B32422016451775,PAK,ADM3
BULRI SHAH KARIM,,9618217B55492999245243,PAK,ADM3
TANDO GULAM HYDER,,9618217B32325848684143,PAK,ADM3
TANDO MUHAMMAD KHAN,,9618217B84304552690327,PAK,ADM3
CHACHRO,,9618217B62475271488005,PAK,ADM3
DIPLO,,9618217B1653844923858,PAK,ADM3
MITHI,,9618217B71775069847333,PAK,ADM3
NAGAR PARKAR,,9618217B33625885361704,PAK,ADM3
GHORABARI,,9618217B59607324578491,PAK,ADM3
JATI,,9618217B32691002366666,PAK,ADM3
KETI BUNDER,,9618217B45821827970586,PAK,ADM3
KHARO CHAN,,9618217B62953404341439,PAK,ADM3
MIRPUR BATHORO,,9618217B32309047499961,PAK,ADM3
MIRPUR SAKRO,,9618217B56949362000104,PAK,ADM3
SHAH BUNDER,,9618217B34108592330182,PAK,ADM3
SUJAWAL,,9618217B63801206412538,PAK,ADM3
THATTA,,9618217B1372842276225,PAK,ADM3
KUNRI,,9618217B8905165567728,PAK,ADM3
PITHORO,,9618217B67314083220757,PAK,ADM3
SAMARO,,9618217B7598168398580,PAK,ADM3
UMER KOT,,9618217B80289626540526,PAK,ADM3
Peshawar I,,9618217B32153440891541,PAK,ADM3
Peshawar II,,9618217B43929929180637,PAK,ADM3
Peshawar III,,9618217B47765758459312,PAK,ADM3
Peshawar IV,,9618217B71604704168129,PAK,ADM3
Peshawar Cantonment,,9618217B11440538053000,PAK,ADM3
GADAP TOWN,,9618217B74562422953001,PAK,ADM3
BIN QASIM TOWN,,9618217B81288119698045,PAK,ADM3
LYARI TOWN,,9618217B81972657940854,PAK,ADM3
SITE TOWN,,9618217B27836216786447,PAK,ADM3
GULBERG TOWN,,9618217B49298824887871,PAK,ADM3
N.NAZIMABAD TOWN,,9618217B68715976569755,PAK,ADM3
ORANGI TOWN,,9618217B18146394864332,PAK,ADM3
BALDIA TOWN,,9618217B71654380557394,PAK,ADM3
MALIR CANTONMENT,,9618217B3059727908268,PAK,ADM3
MALIR,,9618217B33191916593922,PAK,ADM3
FAISAL CANTONMENT,,9618217B41060752255967,PAK,ADM3
SHAH FAISAL TOWN,,9618217B23633640265691,PAK,ADM3
SADDAR TOWN,,9618217B49959130600238,PAK,ADM3
KIAMARI TOWN,,9618217B80577698749666,PAK,ADM3
CLIFTON CANTONMENT,,9618217B15353511562764,PAK,ADM3
KORANGI CREEK CANTONMENT,,9618217B10928152590242,PAK,ADM3
KORANGI TOWN,,9618217B4743832450258,PAK,ADM3
LANDHI TOWN,,9618217B32801209797118,PAK,ADM3
LIAQATABAD TOWN,,9618217B32835633358061,PAK,ADM3
JAMSHED TOWN,,9618217B68188288692229,PAK,ADM3
GULSHAN E IQBAL TOWN,,9618217B80151254256120,PAK,ADM3
KARACHI CANTONMENT,,9618217B85691850097760,PAK,ADM3
MANORA CANTONMENT,,9618217B84997176527728,PAK,ADM3
NEW KARACHI TOWN,,9618217B94506415006873,PAK,ADM3
KAMALIA,,9618217B66803850841385,PAK,ADM3
MIAN CHANNU,,9618217B9822491870028,PAK,ADM3
